film_id,title,release_year,rental_duration,rental_rate,length,replacement_cost,rating,special_features,category_name,actor_ids,rental_count
1,ACADEMY DINOSAUR,2006,6,0.99,86,20.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Documentary,"{1,10,20,30,40,53,108,162,188,198}",23
2,ACE GOLDFINGER,2006,3,4.99,48,12.99,G,"{Trailers,""Deleted Scenes""}",Horror,"{19,85,90,160}",7
3,ADAPTATION HOLES,2006,7,2.99,50,18.99,NC-17,"{Trailers,""Deleted Scenes""}",Documentary,"{2,19,24,64,123}",12
4,AFFAIR PREJUDICE,2006,5,2.99,117,26.99,G,"{Commentaries,""Behind the Scenes""}",Horror,"{41,81,88,147,162}",23
5,AFRICAN EGG,2006,6,2.99,130,22.99,G,"{""Deleted Scenes""}",Family,"{51,59,103,181,200}",12
6,AGENT TRUMAN,2006,3,2.99,169,17.99,PG,"{""Deleted Scenes""}",Foreign,"{21,23,62,108,137,169,197}",21
7,AIRPLANE SIERRA,2006,6,4.99,62,28.99,PG-13,"{Trailers,""Deleted Scenes""}",Comedy,"{99,133,162,170,185}",15
8,AIRPORT POLLOCK,2006,6,4.99,54,15.99,R,{Trailers},Horror,"{55,96,110,138}",18
9,ALABAMA DEVIL,2006,3,2.99,114,21.99,PG-13,"{Trailers,""Deleted Scenes""}",Horror,"{10,22,26,53,68,108,130,175,194}",12
10,ALADDIN CALENDAR,2006,6,4.99,63,24.99,NC-17,"{Trailers,""Deleted Scenes""}",Sports,"{29,35,37,64,117,142,157,188}",23
11,ALAMO VIDEOTAPE,2006,6,0.99,126,16.99,G,"{Commentaries,""Behind the Scenes""}",Foreign,"{40,81,90,174}",24
12,ALASKA PHANTOM,2006,6,0.99,136,22.99,PG,"{Commentaries,""Deleted Scenes""}",Music,"{37,75,105,109,146,177,180}",26
13,ALI FOREVER,2006,4,4.99,150,21.99,PG,"{""Deleted Scenes"",""Behind the Scenes""}",Horror,"{77,91,94,114,176}",9
15,ALIEN CENTER,2006,5,2.99,46,10.99,NC-17,"{Trailers,Commentaries,""Behind the Scenes""}",Foreign,"{36,69,105,117,164,170}",22
16,ALLEY EVOLUTION,2006,6,2.99,180,23.99,NC-17,"{Trailers,Commentaries}",Foreign,"{12,57,146,191,192}",14
17,ALONE TRIP,2006,3,0.99,82,14.99,R,"{Trailers,""Behind the Scenes""}",Music,"{3,12,13,82,100,160,167,187}",18
18,ALTER VICTORY,2006,6,0.99,57,27.99,PG-13,"{Trailers,""Behind the Scenes""}",Animation,"{45,142,144,162}",22
19,AMADEUS HOLY,2006,6,0.99,113,20.99,PG,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Action,"{5,27,37,43,84,104}",21
20,AMELIE HELLFIGHTERS,2006,4,4.99,79,23.99,R,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Music,"{52,102,136,139,155,159}",10
21,AMERICAN CIRCUS,2006,3,4.99,129,17.99,R,"{Commentaries,""Behind the Scenes""}",Action,"{25,26,105,119,126}",22
22,AMISTAD MIDSUMMER,2006,6,2.99,85,10.99,G,"{Commentaries,""Behind the Scenes""}",New,"{77,95,122,124}",21
23,ANACONDA CONFESSIONS,2006,3,0.99,92,9.99,R,"{Trailers,""Deleted Scenes""}",Animation,"{1,4,22,150,164}",21
24,ANALYZE HOOSIERS,2006,6,2.99,181,19.99,R,"{Trailers,""Behind the Scenes""}",Horror,"{38,42,67,157,179}",14
25,ANGELS LIFE,2006,3,2.99,74,15.99,G,{Trailers},New,"{1,4,7,47,91,136,166,167,187}",22
26,ANNIE IDENTITY,2006,3,0.99,86,15.99,G,"{Commentaries,""Deleted Scenes""}",Sci-Fi,"{71,128,130}",22
27,ANONYMOUS HUMAN,2006,7,0.99,179,12.99,NC-17,"{""Deleted Scenes"",""Behind the Scenes""}",Sports,"{7,55,99,110,140,148,154,170,179}",13
28,ANTHEM LUKE,2006,5,4.99,91,16.99,PG-13,"{""Deleted Scenes"",""Behind the Scenes""}",Comedy,"{74,162}",15
29,ANTITRUST TOMATOES,2006,5,2.99,168,11.99,NC-17,"{Trailers,Commentaries,""Deleted Scenes""}",Action,"{6,13,105,122,175,187,197}",10
30,ANYTHING SAVANNAH,2006,4,2.99,82,27.99,R,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Horror,"{9,163,178}",9
31,APACHE DIVINE,2006,5,4.99,92,16.99,NC-17,"{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",Family,"{2,15,49,60}",31
32,APOCALYPSE FLAMINGOS,2006,6,4.99,119,11.99,R,"{Trailers,Commentaries}",New,"{79,158,162,168,183}",6
34,ARABIA DOGMA,2006,6,0.99,62,29.99,NC-17,"{Commentaries,""Deleted Scenes""}",Horror,"{12,26,27,40,57,72,75,102,112,126,157,178}",13
35,ARACHNOPHOBIA ROLLERCOASTER,2006,4,2.99,147,24.99,PG-13,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}",Horror,"{7,35,95,113,118,135,139,184}",24
37,ARIZONA BANG,2006,3,2.99,121,28.99,PG,"{Trailers,""Deleted Scenes""}",Classics,"{12,64,112,130}",21
39,ARMAGEDDON LOST,2006,5,0.99,99,10.99,G,{Trailers},Sci-Fi,"{65,84,104,118,145,177,191}",21
