"film_id","title","rental_duration","rating","regular_revenue","late_revenue","total_revenue","rental_volume"
879,"TELEGRAPH VOYAGE",3,"PG","14.97","216.76","231.73","27"
973,"WIFE TURN",3,"NC-17","49.90","173.79","223.69","31"
1000,"ZORRO ARK",3,"NC-17","64.87","149.82","214.69","31"
369,"GOODFELLAS SALUTE",4,"PG","59.88","149.81","209.69","31"
764,"SATURDAY LAMBS",3,"G","44.91","159.81","204.72","28"
893,"TITANS JERK",4,"PG","54.89","146.82","201.71","29"
897,"TORQUE BOUND",3,"G","55.88","142.84","198.72","27"
403,"HARRY IDAHO",5,"PG-13","74.85","120.85","195.70","30"
460,"INNOCENT USUAL",3,"PG-13","39.92","151.82","191.74","26"
444,"HUSTLER PARTY",3,"NC-17","14.97","175.81","190.78","22"
670,"PELICAN COMFORTS",4,"PG","44.91","143.83","188.74","26"
127,"CAT CONEHEADS",5,"G","94.81","86.89","181.70","30"
284,"ENEMY ODDS",5,"NC-17","69.86","110.85","180.71","29"
103,"BUCKET BROTHERHOOD",7,"PG","134.73","45.93","180.66","34"
715,"RANGE MOONWALKER",3,"PG","74.85","104.88","179.73","27"
563,"MASSACRE USUAL",6,"R","74.85","104.85","179.70","30"
941,"VIDEOTAPE ARSENIC",4,"NC-17","79.84","98.87","178.71","29"
239,"DOGMA FAMILY",5,"G","94.81","83.89","178.70","30"
31,"APACHE DIVINE",5,"NC-17","94.81","83.88","178.69","31"
938,"VELVET TERMINATOR",3,"R","49.90","127.84","177.74","26"
244,"DORADO NOTTING",5,"NC-17","59.88","116.85","176.73","27"
327,"FOOL MOCKINGBIRD",3,"PG","29.94","145.83","175.77","23"
979,"WITCHES PANIC",6,"NC-17","89.82","83.88","173.70","30"
159,"CLOSER BANG",5,"R","69.86","102.86","172.72","28"
767,"SCALAWAG DUCK",6,"NC-17","119.76","52.92","172.68","32"
745,"ROSES TREASURE",5,"PG-13","79.84","91.88","171.72","28"
865,"SUNRISE LEAGUE",3,"PG-13","54.89","115.87","170.76","24"
791,"SHOW LORD",3,"PG-13","54.89","115.86","170.75","25"
624,"NIGHTMARE CHILL",3,"PG","39.92","129.83","169.75","25"
771,"SCORPION APOLLO",3,"NC-17","44.91","123.86","168.77","23"
21,"AMERICAN CIRCUS",3,"R","44.91","122.87","167.78","22"
174,"CONFIDENTIAL INTERVIEW",6,"NC-17","89.82","74.89","164.71","29"
551,"MAIDEN HOME",3,"PG","39.92","123.84","163.76","24"
989,"WORKING MICROCOSMOS",4,"R","39.92","123.83","163.75","25"
775,"SEATTLE EXPECATIONS",4,"PG-13","35.92","127.83","163.75","24"
86,"BOOGIE AMELIE",6,"R","109.78","53.92","163.70","29"
846,"STING PERSONAL",3,"NC-17","39.92","119.87","159.79","21"
527,"LOLA AGENT",4,"PG","49.90","109.86","159.76","24"
48,"BACKLASH UNDEFEATED",3,"PG-13","14.97","143.84","158.81","19"
575,"MIDSUMMER GROUNDHOG",3,"G","39.92","116.86","156.78","22"
892,"TITANIC BOONDOCK",3,"R","50.89","103.88","154.77","23"
838,"STAGECOACH ARMAGEDDON",5,"R","64.87","89.87","154.74","26"
580,"MINE TITANS",3,"PG-13","29.94","123.87","153.81","19"
683,"PITY BOUND",5,"NC-17","79.84","73.90","153.74","26"
778,"SECRETS PARADISE",3,"G","29.94","122.86","152.80","20"
267,"EAGLES PANKY",4,"NC-17","44.91","107.87","152.78","22"
408,"HEAD STRANGER",4,"R","54.89","97.89","152.78","22"
972,"WHISPERER GIANT",4,"PG-13","39.92","111.86","151.78","22"
271,"EASY GLADIATOR",5,"G","39.92","110.85","150.77","23"
579,"MINDS TRUMAN",3,"PG-13","34.93","114.87","149.80","20"
307,"FELLOWSHIP AUTUMN",6,"NC-17","69.86","79.88","149.74","26"
985,"WONDERLAND CHRISTMAS",4,"PG","49.90","98.88","148.78","22"
856,"STREETCAR INTENTIONS",5,"R","79.84","68.91","148.75","25"
501,"KISSING DOLLS",3,"R","39.92","107.88","147.80","20"
861,"SUIT WALLS",3,"R","39.92","107.87","147.79","21"
902,"TRADING PINOCCHIO",6,"PG","64.87","82.88","147.75","25"
521,"LIES TREATMENT",7,"NC-17","94.81","52.92","147.73","27"
45,"ATTRACTION NEWTON",5,"PG-13","69.86","76.90","146.76","24"
330,"FORRESTER COMANCHEROS",7,"NC-17","99.80","46.93","146.73","27"
603,"MOVIE SHAKESPEARE",6,"PG","89.82","55.92","145.74","27"
911,"TRIP NEWTON",7,"PG-13","114.77","30.95","145.72","28"
350,"GARDEN ISLAND",3,"G","24.95","119.85","144.80","20"
